#lambda_l=1.044533137529e+00, lambda_r=1.044533137529e+00
8.728768008361e-24 8.994405064716e-24
8.607337164029e-24 8.899456050012e-24
8.188906090366e-24 8.634098391157e-24
8.037285747182e-24 8.248960311433e-24
7.889049760506e-24 7.841169784913e-24
7.278468185680e-24 7.702882673228e-24
7.157466280614e-24 7.391028173734e-24
7.124290438400e-24 6.905833932992e-24
6.917215863157e-24 6.737021605556e-24
6.589570901434e-24 6.542143861617e-24
6.554866122533e-24 6.469036283931e-24
6.271022463859e-24 6.286893187621e-24
6.085193753345e-24 6.243586689198e-24
5.813341188702e-24 6.133618464883e-24
5.602812342389e-24 5.909092930445e-24
5.588296008046e-24 5.605341734744e-24
5.425849988525e-24 5.466465005800e-24
5.365530391000e-24 5.257777696424e-24
5.176838798796e-24 4.909267866237e-24
5.132486307329e-24 4.748293477323e-24
5.028348318780e-24 4.655016411865e-24
4.806991746704e-24 4.525985457826e-24
4.711368796710e-24 4.354038878863e-24
4.303737586139e-24 4.257821455235e-24
4.220565743087e-24 4.200024235197e-24
4.118782276109e-24 4.091766004685e-24
4.068886836093e-24 3.962120121864e-24
3.866869936118e-24 3.598865980160e-24
3.774314193493e-24 3.410146178955e-24
3.760534535689e-24 3.359243216465e-24
3.670260159867e-24 3.222226004239e-24
3.405020889981e-24 3.194443151241e-24
3.355057885121e-24 3.150911018979e-24
3.267348871709e-24 3.098840156140e-24
3.184364299517e-24 3.048974800307e-24
3.167829946549e-24 2.957785670852e-24
3.127841429435e-24 2.905092284809e-24
3.013122460450e-24 2.827588787757e-24
2.936788289964e-24 2.746823616405e-24
2.912880212807e-24 2.674862357645e-24
2.767788710785e-24 2.592396615756e-24
2.697306370986e-24 2.495431389339e-24
2.632702707112e-24 2.446361215997e-24
2.593712287615e-24 2.391446320038e-24
2.426689581291e-24 2.329129844886e-24
2.366331605725e-24 2.250998877506e-24
2.307915220724e-24 2.210734227118e-24
2.198909265000e-24 2.063052530504e-24
2.132325036327e-24 2.051331640302e-24
2.119310272210e-24 2.014592084966e-24
2.063202620844e-24 1.997080235999e-24
1.984717406356e-24 1.935194412087e-24
1.876898668067e-24 1.926401182755e-24
1.824386431419e-24 1.844105615358e-24
1.770646336906e-24 1.756009354491e-24
1.712314685213e-24 1.693238705496e-24
1.616806593625e-24 1.632718815009e-24
1.567240489964e-24 1.563191054369e-24
1.549357821726e-24 1.544223487861e-24
1.507610771248e-24 1.515202341495e-24
1.487189304864e-24 1.512396757976e-24
1.436216034084e-24 1.454997797833e-24
1.378700023435e-24 1.377840868142e-24
1.364228623645e-24 1.346932887768e-24
1.327755735932e-24 1.326849213330e-24
1.315960433613e-24 1.274209500969e-24
1.278993091028e-24 1.268500468908e-24
1.252833874872e-24 1.221251098172e-24
1.187338634051e-24 1.165143128467e-24
1.119819852050e-24 1.160991889011e-24
1.105444186764e-24 1.131246448304e-24
1.056947853551e-24 1.107438502844e-24
1.025251538311e-24 1.021973726228e-24
9.576950336359e-25 9.929511462378e-25
9.492957850921e-25 9.859683991007e-25
9.386195480321e-25 9.529119259326e-25
8.885894455698e-25 9.470155303032e-25
8.775191106333e-25 9.171654030475e-25
8.370615409895e-25 8.799323323262e-25
8.203844452738e-25 8.701507841771e-25
7.999786143080e-25 8.597022593429e-25
7.737052544410e-25 8.427309962475e-25
7.573495187402e-25 8.178684673729e-25
7.447483368956e-25 7.802484149270e-25
7.324437950346e-25 7.567289922975e-25
7.199631709907e-25 7.541187028503e-25
7.108494216151e-25 7.224788222719e-25
6.795936224421e-25 7.089795557613e-25
6.758585078760e-25 6.874901605957e-25
6.432843552574e-25 6.742567007143e-25
6.125819864969e-25 6.234909540760e-25
5.935028237615e-25 6.059934146464e-25
5.819870325986e-25 5.977950490378e-25
5.519478915129e-25 5.886987180841e-25
5.303160242281e-25 5.684444558206e-25
5.248087214808e-25 5.554318321123e-25
5.079784986333e-25 5.261627776329e-25
4.993297129835e-25 5.162162829616e-25
4.799604543533e-25 5.117474219312e-25
4.644564326536e-25 4.935419543909e-25
4.507669315465e-25 4.775209252530e-25
4.321953698393e-25 4.598478110167e-25
4.319065983475e-25 4.488450807208e-25
4.200900145264e-25 4.479309323871e-25
3.987644623679e-25 4.187927264716e-25
3.955054297056e-25 3.984861808912e-25
3.809616177279e-25 3.816271587932e-25
3.639247325014e-25 3.744079383185e-25
3.504589167557e-25 3.607972831297e-25
3.416625577591e-25 3.561343767285e-25
3.343097932004e-25 3.524236869457e-25
3.133603644604e-25 3.232413447766e-25
3.062317138922e-25 3.208717443412e-25
2.999826669504e-25 3.174616754565e-25
2.864211487005e-25 3.168776019762e-25
2.859342955986e-25 3.095958272471e-25
2.824618754210e-25 3.028344039100e-25
2.765337750418e-25 2.984844846200e-25
2.712612701157e-25 2.927262961855e-25
2.647660632184e-25 2.857522966790e-25
2.582360104206e-25 2.807102367024e-25
2.498700971845e-25 2.657147346596e-25
2.457026306473e-25 2.612633705154e-25
2.406476898127e-25 2.579588083063e-25
2.297218105721e-25 2.487587338060e-25
2.268137426257e-25 2.389120757706e-25
2.220924497096e-25 2.364106693938e-25
2.059086240947e-25 2.260272775797e-25
1.976886646864e-25 2.221170341154e-25
1.952494224763e-25 2.155039513569e-25
1.832273291938e-25 2.023079528757e-25
1.818385779200e-25 2.002864100801e-25
1.804261373563e-25 1.913547808159e-25
1.772754855478e-25 1.837624242512e-25
1.710241546644e-25 1.822042763775e-25
1.683491576472e-25 1.807080628271e-25
1.650120328550e-25 1.770311929168e-25
1.595285739240e-25 1.720965672532e-25
1.567507792010e-25 1.626790851656e-25
1.485965435540e-25 1.578450913287e-25
1.454182302757e-25 1.500445495716e-25
1.403362045654e-25 1.473316786949e-25
1.389851132266e-25 1.465630598031e-25
1.351456542818e-25 1.437690491302e-25
1.333381330498e-25 1.431167150727e-25
1.315765422504e-25 1.405397372795e-25
1.271161168274e-25 1.393884821110e-25
1.246633604323e-25 1.375463496179e-25
1.194960742537e-25 1.325524775527e-25
1.153305363905e-25 1.287388578589e-25
1.110441102338e-25 1.272412324434e-25
1.091609991591e-25 1.254791534031e-25
1.077942428801e-25 1.243651617403e-25
1.067617883844e-25 1.209358384234e-25
1.047141434111e-25 1.155575467681e-25
1.024042377333e-25 1.145324313848e-25
9.632616154879e-26 1.124521149829e-25
9.447550144500e-26 1.105227399833e-25
9.163542830453e-26 1.066437037668e-25
9.075485551459e-26 1.051065720822e-25
8.702733977272e-26 1.027380447303e-25
8.620572730217e-26 1.008978472656e-25
8.091227327352e-26 9.856957530304e-26
7.967309395805e-26 9.812193015188e-26
